id_product;id_feature;id_feature_value;
"28";"93";"2475";
"28";"96";"2478";
"28";"97";"2477";
"28";"99";"17388";
"28";"100";"17389";
"30";"1";"123";
"30";"8";"25";
"30";"9";"27";
"30";"10";"30";
"30";"11";"32";
"30";"13";"40";
"30";"17";"48";
"30";"18";"50";
"30";"21";"56";
"30";"32";"87";
"30";"36";"92";
"30";"39";"79";
"30";"47";"77";
"30";"48";"76";
"30";"49";"124";
"30";"54";"177";
"30";"59";"2410";
"30";"68";"2419";
"30";"80";"2450";
"30";"81";"2429";
"30";"82";"2465";
"30";"85";"2466";
"30";"88";"2469";
"30";"90";"2470";
"30";"95";"2476";
"30";"98";"2479";
"30";"99";"51554";
"30";"100";"51555";
"31";"8";"25";
"31";"9";"27";
"31";"10";"30";
"31";"17";"48";
"31";"19";"52";
"31";"21";"56";
"31";"23";"60";
"31";"36";"92";
"31";"39";"79";
"31";"47";"77";
"31";"48";"74";
"31";"66";"2417";
"31";"67";"2418";
"31";"69";"2420";
"31";"83";"2464";
"31";"86";"2468";
"31";"90";"2470";
"31";"95";"2476";
"31";"99";"19907";
"31";"100";"19908";
"33";"8";"25";
"33";"66";"2417";
"33";"68";"2419";
"33";"69";"2420";
"33";"83";"2464";
"33";"86";"2468";
"33";"87";"2467";
"33";"90";"2470";
"33";"91";"2473";
"33";"95";"2476";
"33";"99";"19897";
"33";"100";"19898";
"35";"8";"26";
"35";"9";"27";
"35";"10";"30";
"35";"11";"33";
"35";"13";"40";
"35";"16";"46";
"35";"17";"48";
"35";"18";"50";
"35";"21";"56";
"35";"47";"77";
"35";"48";"75";
"35";"66";"2417";
"35";"77";"2430";
"35";"80";"2436";
"35";"81";"2429";
"35";"85";"2466";
"35";"99";"27201";
"35";"100";"27202";
"37";"1";"123";
"37";"8";"25";
"37";"9";"18669";
"37";"10";"30";
"37";"11";"32";
"37";"13";"40";
"37";"16";"46";
"37";"17";"48";
"37";"18";"50";
"37";"21";"56";
"37";"39";"79";
"37";"47";"77";
"37";"48";"76";
"37";"49";"139";
"37";"54";"177";
"37";"66";"2417";
"37";"73";"2428";
"37";"75";"2425";
"37";"80";"2448";
"37";"85";"2466";
"37";"90";"2470";
"37";"99";"56881";
"37";"100";"56882";
"37";"101";"18518";
"39";"1";"134";
"39";"8";"25";
"39";"10";"30";
"39";"11";"33";
"39";"13";"40";
"39";"16";"46";
"39";"18";"50";
"39";"21";"56";
"39";"39";"79";
"39";"48";"75";
"39";"54";"176";
"39";"77";"2430";
"39";"80";"2446";
"39";"81";"2429";
"39";"86";"2468";
"39";"95";"2476";
"39";"96";"2478";
"39";"99";"61630";
"39";"100";"61631";
"39";"123";"44500";
"41";"8";"26";
"41";"9";"27";
"41";"10";"30";
"41";"13";"40";
"41";"17";"48";
"41";"19";"52";
"41";"36";"92";
"41";"67";"2418";
"41";"69";"2420";
"41";"76";"2424";
"41";"77";"2430";
"41";"78";"2432";
"41";"80";"2443";
"41";"81";"2429";
"41";"85";"2466";
"41";"88";"2469";
"41";"91";"2473";
